,date,ticker,accounting_item,value
15228,2024-09-30,KLAC,operatingIncome_yoy,0.24545765931277153
15236,2024-12-31,KLAC,operatingIncome_yoy,0.3043458172585207
15252,2025-03-31,KLAC,operatingIncome_yoy,0.5328773808429228
14201,2001-06-30,LRCX,operatingIncome_yoy,-1.7406648084586855
14216,2001-09-30,LRCX,operatingIncome_yoy,-0.8856239000155948
14217,2001-12-31,LRCX,operatingIncome_yoy,-1.9837805523432448
14232,2002-03-31,LRCX,operatingIncome_yoy,-1.3797309660149764
14237,2002-06-30,LRCX,operatingIncome_yoy,-0.8863403103909433
14244,2002-09-30,LRCX,operatingIncome_yoy,-0.5858005453837164
14254,2002-12-31,LRCX,operatingIncome_yoy,-0.9898688024864768
14265,2003-03-31,LRCX,operatingIncome_yoy,-0.9532435085214598
14273,2003-06-30,LRCX,operatingIncome_yoy,0.03611985223696812
14277,2003-09-30,LRCX,operatingIncome_yoy,0.160827651069833
14288,2003-12-31,LRCX,operatingIncome_yoy,-8.913470993117011
14296,2004-03-31,LRCX,operatingIncome_yoy,-24.53435114503817
14309,2004-06-30,LRCX,operatingIncome_yoy,-10.049385976495444
14324,2004-09-30,LRCX,operatingIncome_yoy,23.56471541421916
14333,2004-12-31,LRCX,operatingIncome_yoy,12.490308151093439
14337,2005-03-31,LRCX,operatingIncome_yoy,2.187844631852092
14354,2005-06-30,LRCX,operatingIncome_yoy,0.20428711094249308
14364,2005-09-30,LRCX,operatingIncome_yoy,-0.5078828457402949
14374,2005-12-31,LRCX,operatingIncome_yoy,-0.291618310767247
14381,2006-03-31,LRCX,operatingIncome_yoy,0.4024546899841017
14385,2006-06-30,LRCX,operatingIncome_yoy,0.931468175594625
14399,2006-09-30,LRCX,operatingIncome_yoy,2.2645186153279044
14415,2006-12-31,LRCX,operatingIncome_yoy,1.5290278120896126
14417,2007-03-31,LRCX,operatingIncome_yoy,0.7137610186092067
14434,2007-06-30,LRCX,operatingIncome_yoy,0.25684729558485886
14438,2007-09-30,LRCX,operatingIncome_yoy,0.01566983005958944
14449,2007-12-31,LRCX,operatingIncome_yoy,-0.17054060306932983
14460,2008-03-31,LRCX,operatingIncome_yoy,-0.5434109634709721
14472,2008-06-30,LRCX,operatingIncome_yoy,-0.6809168001836795
14480,2008-09-30,LRCX,operatingIncome_yoy,-0.9165226443507878
14496,2008-12-31,LRCX,operatingIncome_yoy,-1.2317676373238127
14507,2009-03-31,LRCX,operatingIncome_yoy,-3.2621373851164193
14516,2009-06-30,LRCX,operatingIncome_yoy,-2.01967838818671
14524,2009-09-30,LRCX,operatingIncome_yoy,0.7708093710273018
14535,2009-12-31,LRCX,operatingIncome_yoy,-3.442982456140351
14542,2010-03-31,LRCX,operatingIncome_yoy,-1.763858717927699
14561,2010-06-30,LRCX,operatingIncome_yoy,-3.3888104807780812
14565,2010-09-30,LRCX,operatingIncome_yoy,6.657390947627513
14577,2010-12-31,LRCX,operatingIncome_yoy,1.6394009721066691
14591,2011-03-31,LRCX,operatingIncome_yoy,0.3212961037741544
14598,2011-06-30,LRCX,operatingIncome_yoy,-0.08686270606292179
14610,2011-09-30,LRCX,operatingIncome_yoy,-0.5562425779261945
14630,2011-12-31,LRCX,operatingIncome_yoy,-0.8027987922224434
14638,2012-03-31,LRCX,operatingIncome_yoy,-0.7049787812950516
14642,2012-06-30,LRCX,operatingIncome_yoy,-0.7702386226976391
14655,2012-09-30,LRCX,operatingIncome_yoy,-0.831869535910824
14674,2012-12-31,LRCX,operatingIncome_yoy,-0.9149875909645396
14681,2013-03-31,LRCX,operatingIncome_yoy,-0.8138442479094257
