SARIMA,ETS,Theta,Ensemble,ticker,date
8352948620.437651,20259867643.549023,14393838522.34841,14335551595.445028,211270,2025-10-08
17939472163.10813,19416860535.71662,14517280239.437506,17291204312.754086,211270,2025-10-09
60596902142.80084,63705419668.90916,58217160168.49402,60839827326.73467,212560,2025-10-01
60215457488.7585,62175150483.73347,58686537826.98145,60359048599.82447,212560,2025-10-02
60407657482.14877,61740174141.98998,59155915485.46889,60434582369.869225,212560,2025-10-03
60534586586.55076,62836574953.27073,59625293143.95632,60998818227.925934,212560,2025-10-04
60895059021.136375,62330556029.31106,60094670802.44376,61106761950.96372,212560,2025-10-05
61728587108.5124,63840107248.155975,60564048460.93119,62044247605.86652,212560,2025-10-06
62115725571.40136,66998181413.31443,61033426119.41863,63382444368.0448,212560,2025-10-07
63519739862.69232,71948547736.70757,61502803777.90606,65657030459.10198,212560,2025-10-08
63387763516.50185,70418278551.53186,61972181436.39349,65259407834.80906,212560,2025-10-09
546766217362.327,542261877324.0767,500368138185.2613,529798744290.555,214320,2025-10-01
492888409258.2984,542466252514.9814,518379698773.8296,517911453515.7031,214320,2025-10-02
551276229079.6184,552175376458.5645,517536802843.2142,540329469460.4656,214320,2025-10-03
496166614025.3321,587159618371.9695,548355191028.0069,543893807808.4361,214320,2025-10-04
556654940782.2734,586477825721.1289,545938277189.12616,563023681230.8429,214320,2025-10-05
494021840673.6,540999039986.8633,529874191976.46985,521631690878.9777,214320,2025-10-06
559712100193.2631,602869065294.9596,551639123478.5076,571406762988.91,214320,2025-10-07
495031647303.9747,597513202920.904,536388597119.5247,542977815781.4678,214320,2025-10-08
562886551479.5072,597717578111.8087,554400157708.093,571668095766.4696,214320,2025-10-09
98032605909.973,90084192404.30574,91729346301.34822,93282048205.20898,214330,2025-10-01
97458132247.57826,85563613390.07788,92701634457.8558,91907793365.17064,214330,2025-10-02
97425040449.70432,89409205735.2239,93673922614.36336,93502722933.09718,214330,2025-10-03
97430563071.87164,90787924632.19832,94646210770.87093,94288232824.9803,214330,2025-10-04
97434711428.9964,91201848597.38438,95618498927.3785,94751686317.91975,214330,2025-10-05
97439531072.7348,88325810232.81233,96590787083.88606,94118709463.1444,214330,2025-10-06
97371697635.52824,103425733046.87274,97563075240.39362,99453501974.26485,214330,2025-10-07
97353498907.67184,101497848042.79826,98535363396.90118,99128903449.12376,214330,2025-10-08
97367863421.4966,96977269028.5704,99507651553.40875,97950928001.15858,214330,2025-10-09
20048339837.112694,18380453564.49588,18263538994.72661,18897444132.11173,214370,2025-10-01
22739357928.68542,24876364817.17724,22946613133.830387,23520778626.56435,214370,2025-10-02
20206878576.728672,20832471181.48943,20432789642.32192,20490713133.51334,214370,2025-10-03
20988477174.34556,20462888842.79042,21216057126.833862,20889141047.98995,214370,2025-10-04
22304838136.05068,25166184059.832462,22832023850.49546,23434348682.1262,214370,2025-10-05
21378961544.873444,22311975848.795124,21240105347.558426,21643680913.74233,214370,2025-10-06
19645546723.44657,18387228127.021336,18429692773.669003,18820822541.37897,214370,2025-10-07
20691486242.2958,19689383024.78313,19814375704.16733,20065081657.08209,214370,2025-10-08
23756366260.40252,26185294277.464493,24497449843.27111,24813036793.712708,214370,2025-10-09
68668029448.390594,67644797962.82249,67302719152.14949,67871848854.454185,214390,2025-10-01
67357600970.762924,67015134495.1425,67782294280.01564,67385009915.30703,214390,2025-10-02
71152455245.63539,76846455461.68214,68261869407.88179,72086926705.06645,214390,2025-10-03
68940621741.26657,76756647385.43694,68741444535.74794,71479571220.81714,214390,2025-10-04
70375136463.39684,77290800789.59679,69221019663.61409,72295652305.5359,214390,2025-10-05
69570556553.68692,77886386890.97041,69700594791.48026,72385846078.71254,214390,2025-10-06
71349853328.28201,75885030391.32516,70180169919.3464,72471684546.31786,214390,2025-10-07
70310648282.17955,76710039693.4209,70659745047.21255,72560144340.93767,214390,2025-10-08
70996536601.92975,76080376225.7409,71139320175.0787,72738744334.24979,214390,2025-10-09
59689315112.16083,63390912191.18431,56311121127.23964,59797116143.52826,214420,2025-10-01
56742993306.01606,63638675558.85398,56461865041.58576,58947844635.48527,214420,2025-10-02
59476950284.15727,65057007545.3202,56612608955.931885,60382188928.46979,214420,2025-10-03
56819742402.01106,64968181432.44113,56763352870.27801,59517092234.91007,214420,2025-10-04
58955847650.543785,78414070864.35521,56914096784.62413,64761338433.17438,214420,2025-10-05
59042998439.63507,66109860702.74597,57064840698.97025,60739233280.45043,214420,2025-10-06
59432880695.97614,77668125346.81133,57215584613.316376,64772196885.36795,214420,2025-10-07
58366181159.860245,81561839725.83463,57366328527.6625,65764783137.7858,214420,2025-10-08
59310103807.895096,81809603093.50429,57517072442.00862,66212259781.13601,214420,2025-10-09
32638438413.13881,32000046912.86013,29730629867.15931,31456371731.05275,214430,2025-07-01
28183014135.74946,33452729513.77537,30033172138.5994,30556305262.70808,214430,2025-07-02
32612149945.09609,33895506070.226906,30335714410.03949,32281123475.12083,214430,2025-07-03
28769908438.35129,33728628919.0806,30638256681.47958,31045598012.97049,214430,2025-07-04
33525813585.707443,36121990377.97671,30940798952.91967,33529534305.534607,214430,2025-07-05
30082933886.27608,35879816538.39637,31243341224.35976,32402030549.6774,214430,2025-07-06
32795928360.637333,34248562025.744534,31545883495.79985,32863457960.72724,214430,2025-07-07
30365818428.241104,36885840525.885895,31848425767.23994,33033361573.788982,214430,2025-07-08
