ticker,reported_currency,is_foreign
ATR,USD,False
ATRC,USD,False
ATRI,USD,False
ATRO,USD,False
ATS,CAD,True
ATSG,USD,False
ATVI,USD,False
ATXS,USD,False
AU,USD,False
AUPH,USD,False
AUY,USD,False
AVAV,USD,False
AVB,USD,False
AVDL,USD,False
AVGO,USD,False
AVID,USD,False
AVNS,USD,False
AVNT,USD,False
AVT,USD,False
AVXL,USD,False
AVY,USD,False
AWI,USD,False
AXGN,USD,False
AXL,USD,False
AXON,USD,False
AXSM,USD,False
AXTA,USD,False
AXTI,USD,False
AYI,USD,False
AZN,USD,False
AZO,USD,False
AZPN,USD,False
AZTA,USD,False
AZZ,USD,False
B,USD,False
BA,USD,False
BABA,CNY,True
BAH,USD,False
BAK,BRL,True
BALL,USD,False
BAX,USD,False
BB,USD,False
BBBY,USD,False
BBSI,USD,False
BBW,USD,False
BBWI,USD,False
BBY,USD,False
BC,USD,False
BCC,USD,False
BCE,CAD,True
BCEI,USD,False
BCO,USD,False
BCPC,USD,False
BCRX,USD,False
BDC,USD,False
BDN,USD,False
BDSI,USD,False
BDX,USD,False
BECN,USD,False
BERY,USD,False
BFAM,USD,False
BFS,USD,False
BG,USD,False
BGM,USD,False
BGS,USD,False
BH,USD,False
BHC,USD,False
BHE,USD,False
BHP,USD,False
BIDU,CNY,True
BIIB,USD,False
BIO,USD,False
BJRI,USD,False
BKD,USD,False
BKE,USD,False
BKI,USD,False
BKNG,USD,False
BKR,USD,False
BLBD,USD,False
BLD,USD,False
BLDP,USD,False
BLDR,USD,False
BLFS,USD,False
BLKB,USD,False
BLL,USD,False
BLMN,USD,False
BLU,USD,False
BMI,USD,False
BMRN,USD,False
BMY,USD,False
BNTC,USD,False
BOOT,USD,False
BOX,USD,False
BP,USD,False
BPMC,USD,False
BR,USD,False
BRC,USD,False
BRFS,BRL,True
BRKR,USD,False
BRKS,USD,False
BRX,USD,False
BSM,USD,False
BSX,USD,False
BTCM,USD,False
BTE,CAD,True
BTG,USD,False
BTI,GBP,True
BTX,UNKNOWN,False
BUD,USD,False
BURL,USD,False
BVH,USD,False
BVN,USD,False
BW,USD,False
BWA,USD,False
BWLP,USD,False
BWXT,USD,False
BXC,USD,False
BXMT,USD,False
BXP,USD,False
BYD,USD,False
BYON,USD,False
BYRN,USD,False
BZH,USD,False
CABO,USD,False
CACI,USD,False
CAE,CAD,True
CAG,USD,False
CAH,USD,False
CAJ,JPY,True
CAKE,USD,False
CAL,USD,False
CALM,USD,False
CALX,USD,False
CALY,USD,False
CAM,USD,False
CAMT,USD,False
CAPL,USD,False
CAPR,USD,False
CAR,USD,False
CASS,USD,False
CASY,USD,False
CAT,USD,False
CBAY,USD,False
CBRE,USD,False
CBRL,USD,False
CBT,USD,False
CBZ,USD,False
CC,USD,False
CCEC,USD,False
CCEP,EUR,True
CCF,USD,False
CCI,USD,False
CCJ,CAD,True
CCK,USD,False
CCL,USD,False
CCLP,USD,False
CCO,USD,False
CCOI,USD,False
CCS,USD,False
CCU,CLP,True
CD,USD,False
CDE,USD,False
CDMO,USD,False
CDNA,USD,False
CDNS,USD,False
CDP,USD,False
CDTX,USD,False
CDW,USD,False
CDXC,USD,False
CE,USD,False
CEA,CNY,True
CECE,USD,False
CECO,USD,False
CELH,USD,False
CENT,USD,False
CENX,USD,False
CEO,CNY,True
CEQP,USD,False
CERS,USD,False
CEVA,USD,False
CF,USD,False
CFX,USD,False
CGAU,USD,False
CGC,CAD,True
CGNX,USD,False
CHCT,USD,False
CHD,USD,False
CHDN,USD,False
CHE,USD,False
CHEF,USD,False
CHH,USD,False
CHKP,USD,False
CHRW,USD,False
CHS,USD,False
CHT,TWD,True
CHTR,USD,False
CHUY,USD,False
CI,USD,False
CIEN,USD,False
CIGI,USD,False
CIM,USD,False
CINR,USD,False
CIR,USD,False
CIVI,USD,False
CL,USD,False
CLB,USD,False
CLDT,USD,False
CLDX,USD,False
CLF,USD,False
CLFD,USD,False
CLH,USD,False
CLI,USD,False
CLLS,USD,False
CLMB,USD,False
CLMT,USD,False
CLNE,USD,False
CLPT,USD,False
CLS,USD,False
CLX,USD,False
CMBT,USD,False
CMC,USD,False
CMCL,USD,False
CMCO,USD,False
CMG,USD,False
CMI,USD,False
CMP,USD,False
CMPR,USD,False
CMRE,USD,False
CMRX,USD,False
CNC,USD,False
CNH,USD,False
CNHI,USD,False
CNI,CAD,True
CNK,USD,False
CNL,USD,False
CNMD,USD,False
CNQ,CAD,True
CNSL,USD,False
CNX,USD,False
CNXN,USD,False
CO,CNY,True
CODI,USD,False
COG,USD,False
COHR,USD,False
COHU,USD,False
COKE,USD,False
COLL,USD,False
COLM,USD,False
COMM,USD,False
CON,USD,False
COO,USD,False
COP,USD,False
COR,USD,False
CORT,USD,False
COST,USD,False
COTY,USD,False
CP,CAD,True
CPA,USD,False
CPAC,PEN,True
CPAY,USD,False
CPB,USD,False
CPE,USD,False
CPG,CAD,True
CPLP,USD,False
CPRI,USD,False
CPRT,USD,False
CPRX,USD,False
CPS,USD,False
CPT,USD,False
CQP,USD,False
CRAI,USD,False
CREE,USD,False
CRH,USD,False
CRI,USD,False
CRK,USD,False
CRL,USD,False
CRM,USD,False
CRMD,USD,False
CROX,USD,False
CRS,USD,False
CRTO,USD,False
CRUS,USD,False
CRY,USD,False
CSCO,USD,False
CSGP,USD,False
CSGS,USD,False
CSII,USD,False
CSIQ,USD,False
CSL,USD,False
CSR,USD,False
CSTM,USD,False
CSV,USD,False
CSW,USD,False
CSWI,USD,False
CSX,USD,False
CTAS,USD,False
CTGO,USD,False
CTIC,USD,False
CTLP,USD,False
CTLT,USD,False
CTMX,USD,False
CTO,USD,False
CTRA,USD,False
CTRE,USD,False
CTRN,USD,False
CTS,USD,False
CTSH,USD,False
CUBE,USD,False
CUK,USD,False
CUZ,USD,False
CVCO,USD,False
CVE,CAD,True
CVGW,USD,False
CVI,USD,False
CVLG,USD,False
CVLT,USD,False
CVS,USD,False
CVX,USD,False
CW,USD,False
CWST,USD,False
CX,USD,False
CXP,USD,False
CXT,USD,False
CXW,USD,False
CYBR,USD,False
CYD,CNY,True
CYH,USD,False
CYRX,USD,False
CYTK,USD,False
CZR,USD,False
DAC,USD,False
DAKT,USD,False
DAL,USD,False
DAN,USD,False
DAR,USD,False
DBI,USD,False
DBRG,USD,False
DBVT,USD,False
DCI,USD,False
DCO,USD,False
DCP,USD,False
DD,USD,False
DDS,USD,False
DE,USD,False
DEA,USD,False
DECK,USD,False
DEI,USD,False
DENN,USD,False
DEO,USD,False
DG,USD,False
DGII,USD,False
DGX,USD,False
DHC,USD,False
DHI,USD,False
DHR,USD,False
DHT,USD,False
DIN,USD,False
DINO,USD,False
DIOD,USD,False
DIS,USD,False
DISH,USD,False
DJCO,USD,False
DJT,USD,False
DK,USD,False
DKL,USD,False
DKS,USD,False
DLB,USD,False
DLR,USD,False
DLTR,USD,False
DLX,USD,False
DMAC,USD,False
DMLP,USD,False
DNN,CAD,True
DNOW,USD,False
DOC,USD,False
DOOO,CAD,True
DOOR,USD,False
DORM,USD,False
DOV,USD,False
DOX,USD,False
DPZ,USD,False
DQ,USD,False
DRD,ZAR,True
DRH,USD,False
DRI,USD,False
DRQ,USD,False
DRS,USD,False
DSGR,USD,False
DSGX,USD,False
DSKE,USD,False
DVA,USD,False
DVAX,USD,False
DVN,USD,False
DVS,CAD,True
DX,USD,False
DXC,USD,False
DXCM,USD,False
DXPE,USD,False
DY,USD,False
E,EUR,True
EA,USD,False
